source,medium,country,browser,device_category,pageviews,transactions,date,hits
google,organic,Germany,Firefox,desktop,17,,20160801,24
(direct),(none),United States,Internet Explorer,desktop,18,,20160801,24
google,organic,United States,Safari,mobile,17,,20160801,27
(direct),(none),United States,Chrome,desktop,19,,20160801,27
google,organic,United States,Chrome,desktop,17,,20160801,27
google,organic,United States,Chrome,desktop,18,,20160801,27
google,organic,India,Chrome,desktop,18,,20160801,27
google,organic,United States,Chrome,desktop,19,,20160801,28
(direct),(none),United States,Chrome,mobile,18,,20160801,28
(direct),(none),United States,Chrome,desktop,22,,20160801,28
(direct),(none),United States,Chrome,desktop,20,,20160801,28
(direct),(none),United States,Chrome,desktop,21,,20160801,28
(direct),(none),United States,Chrome,desktop,18,,20160801,29
(direct),(none),United States,Chrome,desktop,12,,20160801,29
(direct),(none),United States,Chrome,tablet,27,,20160801,30
(direct),(none),United States,Chrome,desktop,18,,20160801,30
(direct),(none),United States,Chrome,desktop,22,,20160801,30
google,organic,Switzerland,Chrome,desktop,23,,20160801,30
(direct),(none),United States,Chrome,desktop,18,,20160801,30
google,cpc,United States,Chrome,mobile,19,,20160801,31
(direct),(none),United States,Chrome,desktop,29,,20160801,31
(direct),(none),United States,Chrome,desktop,23,,20160801,31
(direct),(none),United States,Chrome,desktop,21,,20160801,31
(direct),(none),United States,Chrome,desktop,24,1,20160801,32
(direct),(none),United States,Chrome,desktop,24,,20160801,32
google,organic,United Kingdom,Safari,desktop,20,,20160801,32
google,organic,Peru,Chrome,desktop,22,,20160801,32
(direct),(none),United States,Chrome,desktop,22,,20160801,32
dfa,cpm,United States,Chrome,desktop,31,,20160801,33
(direct),(none),United States,Safari,desktop,13,,20160801,33
google,organic,United States,Chrome,desktop,20,,20160801,33
(direct),(none),United States,Safari,mobile,16,,20160801,35
google,organic,United States,Chrome,desktop,26,1,20160801,35
(direct),(none),United States,Chrome,desktop,27,1,20160801,36
(direct),(none),United States,Chrome,desktop,28,,20160801,37
(direct),(none),United States,Chrome,desktop,27,,20160801,37
(direct),(none),United States,Chrome,desktop,31,1,20160801,37
(direct),(none),United States,Safari,desktop,27,,20160801,37
(direct),(none),United States,Chrome,desktop,33,1,20160801,37
google,organic,United States,Safari,tablet,23,,20160801,37
(direct),(none),United States,Chrome,desktop,27,,20160801,38
google,organic,United States,Chrome,desktop,31,1,20160801,38
(direct),(none),United States,Chrome,desktop,29,,20160801,38
(direct),(none),United States,Chrome,desktop,25,,20160801,38
(direct),(none),United States,Chrome,desktop,18,,20160801,39
google,organic,United Kingdom,Chrome,desktop,27,,20160801,39
google,organic,Italy,Chrome,desktop,22,,20160801,39
(direct),(none),Taiwan,Chrome,desktop,23,,20160801,39
google,organic,Australia,Chrome,desktop,27,,20160801,40
(direct),(none),United States,Chrome,desktop,27,,20160801,41
(direct),(none),United States,Chrome,desktop,31,,20160801,41
google,organic,United States,Safari,mobile,39,,20160801,43
(direct),(none),Kenya,Chrome,desktop,31,,20160801,46
google,cpc,United States,Chrome,desktop,31,,20160801,47
google,organic,United States,Chrome,desktop,31,,20160801,48
(direct),(none),United States,Chrome,desktop,35,1,20160801,49
(direct),(none),United States,Chrome,desktop,32,,20160801,49
(direct),(none),United States,Chrome,desktop,30,,20160801,50
google,organic,United States,Chrome,desktop,33,,20160801,50
(direct),(none),United States,Chrome,desktop,43,1,20160801,51
(direct),(none),United States,Chrome,desktop,37,1,20160801,53
(direct),(none),United Kingdom,Safari,mobile,36,,20160801,53
(direct),(none),United States,Chrome,desktop,25,,20160801,53
(direct),(none),Kenya,Chrome,desktop,39,1,20160801,54
(direct),(none),United States,Chrome,desktop,40,,20160801,54
(direct),(none),India,Chrome,desktop,33,,20160801,55
(direct),(none),United States,Chrome,desktop,35,,20160801,56
google,organic,United States,Safari,tablet,27,,20160801,59
(direct),(none),United States,Chrome,desktop,41,,20160801,59
google,organic,United States,Chrome,desktop,44,,20160801,59
(direct),(none),United States,Safari,mobile,42,,20160801,59
google,organic,United States,Chrome,desktop,40,,20160801,59
google,organic,United States,Chrome,desktop,46,,20160801,62
(direct),(none),United States,Chrome,desktop,41,,20160801,62
(direct),(none),United States,Chrome,desktop,64,,20160801,64
(direct),(none),United States,Chrome,desktop,58,1,20160801,64
(direct),(none),United States,Chrome,desktop,38,,20160801,66
(direct),(none),United States,Chrome,desktop,42,1,20160801,67
google,cpc,United States,Chrome,desktop,40,,20160801,67
(direct),(none),United States,Chrome,desktop,49,,20160801,69
basecamp.com,referral,United States,Chrome,desktop,49,1,20160801,69
(direct),(none),United States,Chrome,desktop,40,,20160801,69
(direct),(none),United States,Chrome,mobile,50,,20160801,75
(direct),(none),United States,Chrome,desktop,59,1,20160801,79
(direct),(none),United States,Chrome,desktop,58,1,20160801,83
(direct),(none),United States,Chrome,desktop,60,1,20160801,83
(direct),(none),Mexico,Chrome,desktop,57,,20160801,85
(direct),(none),United States,Firefox,desktop,58,,20160801,86
(direct),(none),United States,Chrome,desktop,58,,20160801,90
(direct),(none),United States,Chrome,desktop,60,,20160801,92
(direct),(none),Venezuela,Safari,mobile,60,,20160801,100
(direct),(none),United States,Chrome,desktop,54,,20160801,113
google,organic,United States,Chrome,desktop,61,,20160801,115
dfa,cpm,United States,Chrome,desktop,92,,20160801,127
(direct),(none),United States,Chrome,desktop,55,,20160801,162
google,organic,United States,Chrome,desktop,109,,20160801,164
(direct),(none),Brazil,Chrome,mobile,133,,20160801,196
google,organic,United States,Chrome,desktop,103,1,20160801,229
google,organic,United States,Chrome,mobile,2,,20160801,2
google,organic,Mexico,Chrome,desktop,2,,20160801,2
google,organic,India,Safari,mobile,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
google,organic,United States,Safari,mobile,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
squishable.com,referral,Japan,Chrome,mobile,2,,20160801,2
google,organic,United States,Chrome,mobile,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
(direct),(none),United States,Firefox,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
google,organic,India,Firefox,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
google,organic,Brazil,Chrome,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
google,organic,United States,Chrome,desktop,2,,20160801,2
(direct),(none),Kenya,Chrome,desktop,2,,20160801,2
google,organic,United States,Chrome,desktop,2,,20160801,2
(direct),(none),United States,Chrome,desktop,2,,20160801,2
facebook.com,referral,Mexico,Chrome,desktop,2,,20160801,2
